id,year,month,day,timezone,state,statefipsno,stateno,magnitude,injuries,fatalities,loss,croploss,startinglatitude,startinglongitude,endinglatitude,endinglongitude,length,width,temperature1,temperature2,dewpointtemp1,dewponittemp2,solarradiation,precipitation,relativehumidity,speed,hours,minutes
1,1950,1,3,3,MO,29,1,3,3,0,6,0,38.77,-90.22,38.83,-90.03,9.5,150,9,9.7,-2.1,-0.4,0,0,0.45,70,11,0
2,1950,1,3,3,IL,17,2,3,3,0,5,0,39.1,-89.3,39.12,-89.23,3.6,130,8.1,9,-0.8,0.1,0,0,0.53,76,11,55
3,1950,1,3,3,OH,39,1,1,1,0,4,0,40.88,-84.58,0,0,0.1,10,7.2,8.8,-0.7,-0.1,0,0,0.57,55,16,0
4,1950,1,13,3,AR,5,1,3,1,1,3,0,34.4,-94.37,0,0,0.6,17,6.6,8.3,-1,-0.5,0,0,0.57,76,5,25
5,1950,1,25,3,MO,29,2,2,5,0,5,0,37.6,-90.68,37.63,-90.65,2.3,300,6.2,7.9,-0.6,-0.1,0,0,0.61,66,19,30
6,1950,1,25,3,IL,17,3,2,0,0,5,0,41.17,-87.33,0,0,0.1,100,4.9,6.8,1.4,1.9,0,0,0.78,45,21,0
7,1950,1,26,3,TX,48,1,2,2,0,0,0,26.88,-98.12,26.88,-98.05,4.7,133,3.1,4.6,2.9,3.7,0,0.3,0.98,34,18,0
8,1950,2,11,3,TX,48,2,2,0,0,4,0,29.42,-95.25,29.52,-95.13,9.9,400,2,3.9,1.9,2.9,2.4,2.3,0.99,54,13,10
9,1950,2,11,3,TX,48,3,3,12,1,4,0,29.67,-95.05,29.83,-95,12,1000,1,2.9,0.9,1.9,25.9,3.1,0.99,55,13,50
10,1950,2,11,3,TX,48,4,2,5,0,5,0,32.35,-95.2,32.42,-95.2,4.6,100,0.5,2.2,0.4,1.5,52,0.9,0.99,66,21,0
11,1950,2,11,3,TX,48,5,2,6,0,5,0,32.98,-94.63,33,-94.7,4.5,67,0.7,2.4,0.6,1.7,82.2,1.3,0.99,43,23,55
12,1950,2,12,3,TX,48,6,2,8,1,4,0,33.33,-94.42,33.45,-94.42,8,833,1.6,3.5,1.5,2.6,113.9,0.7,0.99,66,0,30
13,1950,2,12,3,TX,48,7,1,0,0,4,0,32.08,-98.35,32.1,-98.33,2.3,233,2.3,4.4,2.1,3.1,192,0.2,0.99,67,1,15
14,1950,2,12,3,TX,48,8,2,0,0,4,0,31.52,-96.55,31.57,-96.55,3.4,100,2,4,1.6,2.4,162.4,0.1,0.97,68,6,10
15,1950,2,12,3,TX,48,9,1,32,0,5,0,31.8,-94.2,31.88,-94.12,7.7,100,2.2,4.4,1.4,2.2,317.1,0.4,0.94,50,11,57
16,1950,2,12,3,MS,28,1,2,2,3,4,0,34.6,-89.12,0,0,0.1,10,3.6,5.5,2.1,2.8,356.5,0.3,0.9,65,12,0
17,1950,2,12,3,MS,28,2,1,0,0,0,0,34.6,-89.12,0,0,2,10,4.4,6.9,2.2,2.9,161.5,0,0.86,66,12,0
18,1950,2,12,3,TX,48,10,3,15,3,5,0,31.8,-94.2,31.8,-94.18,1.9,50,5.8,7,-0.8,-0.1,190.5,0,0.62,66,12,0
19,1950,2,12,3,AR,5,2,2,0,0,3,0,34.48,-92.4,0,0,0.1,100,5.2,6.4,-1.4,-0.6,45.9,0,0.62,65,12,30
20,1950,2,12,3,LA,22,1,4,77,18,5,0,31.97,-94,33,-93.3,82.6,100,3.9,3.5,-2.3,-0.3,0,0,0.63,70,13,0
21,1950,2,12,3,LA,22,2,2,10,5,5,0,32.2,-93.58,32.97,-93.17,58.4,100,3.6,0.2,-2.6,-0.8,0,0,0.62,70,13,20
22,1950,2,12,3,LA,22,4,3,25,5,5,0,31.63,-93.65,32.55,-93.03,74.5,100,3.5,-0.8,-2.7,-1.4,0,0,0.62,54,14,0
23,1950,2,12,3,AR,5,3,2,0,0,4,0,33.27,-92.95,33.35,-92.95,5.7,100,3.2,-1.5,-2.9,-1.9,0,0,0.62,40,15,0
24,1950,2,12,3,LA,22,5,1,0,0,4,0,32.6,-91.33,0,0,0.5,33,2.5,-1.8,-3,-2.3,0,0,0.65,55,23,0
25,1950,2,13,3,TN,47,1,1,8,0,3,0,35.35,-89.77,0,0,0.2,10,2.4,-1.9,-3,-2.6,0,0,0.66,67,1,0
26,1950,2,13,3,TN,47,2,2,1,9,4,0,35.75,-89.48,0,0,0.2,10,2,-2.1,-2.6,-2.8,0,0,0.7,69,2,0
27,1950,2,27,3,OK,40,1,2,0,0,4,0,35.55,-97.6,0,0,2,50,1.1,-1.9,-2.5,-3,0,0,0.75,45,10,20
28,1950,3,1,3,MS,28,3,1,0,0,0,0,32.5,-88.85,0,0,0.1,10,0.9,-0.9,-2.4,-3,0,0,0.77,68,2,30
29,1950,3,16,3,FL,12,1,2,0,0,3,0,29.65,-81.22,0,0,1.5,150,1.9,-1.7,-2.8,-3,0,0,0.69,70,9,15
30,1950,3,19,3,LA,22,6,1,2,0,4,0,30.45,-93.45,0,0,2,33,1.5,-2,-2.8,-3.1,0,0,0.71,65,7,30
31,1950,3,19,3,LA,22,7,2,0,0,4,0,30.1,-91,0,0,1,50,1.7,-1.8,-2.9,-2.8,0.1,0,0.7,48,13,15
32,1950,3,19,3,LA,22,8,0,0,0,4,0,29.7,-90.1,29.67,-89.8,18.1,27,2,0.2,-3.1,-1.9,32.2,0,0.67,50,13,15
33,1950,3,26,3,AR,5,4,2,3,0,4,0,34.12,-93.07,34.32,-92.88,17.4,150,3.1,2.6,-2.9,0.2,171.3,0,0.63,58,19,30
34,1950,3,26,3,AR,5,5,3,1,0,5,0,36.15,-91.83,36.2,-91.75,5.7,200,5.5,7.1,-2.4,-0.5,396,0,0.55,58,19,31
35,1950,3,26,3,AR,5,6,2,7,0,5,0,34.7,-92.35,34.8,-92.22,10.4,600,7.1,9.3,-1.8,-1.6,562.9,0,0.52,60,20,30
36,1950,3,26,3,AR,5,7,3,20,0,5,0,34.98,-91.73,35.08,-91.5,14.9,1760,8,10.6,-1.1,-0.7,694.4,0,0.52,57,21,15
37,1950,3,26,3,AR,5,8,2,2,0,0,0,35.1,-91.4,35.15,-91.33,5.4,833,9.8,12,-0.7,-0.6,637.9,0,0.48,58,23,30
38,1950,3,27,3,OK,40,2,2,0,0,3,0,34.85,-95.75,0,0,0.1,77,11.3,13.4,-1.1,-0.9,670.8,0,0.42,74,3,0
39,1950,3,27,3,MS,28,6,2,2,1,0,0,33.17,-90.55,0,0,0.1,10,12.3,14.7,-1.7,-2,632.7,0,0.37,69,5,0
40,1950,3,27,3,LA,22,9,1,2,0,4,0,32.63,-91.28,32.73,-91.05,15.3,17,13.1,15.4,-2.2,-2.4,460.9,0,0.34,74,6,0
41,1950,3,27,3,MS,28,7,2,0,0,0,0,33.13,-89.57,33.25,-89.42,11.9,10,12.4,14.6,-2.2,-1.9,156.9,0,0.35,75,7,30
42,1950,3,27,3,MS,28,4,2,7,0,5,0,32.28,-90.27,32.98,-89.82,59.3,50,12,14.3,-1,-0.6,89.3,0,0.4,45,7,45
43,1950,3,27,3,MS,28,5,2,6,0,5,0,32.28,-90.27,32.48,-89.78,31.9,50,11.6,13.2,-0.3,0.4,31.2,0,0.44,54,7,44
44,1950,3,27,3,LA,22,10,1,0,0,4,0,30.92,-91.13,0,0,0.5,27,10.1,9,-0.5,1.6,0,0,0.47,58,8,30
45,1950,3,27,3,MS,28,9,2,0,0,0,0,33.67,-88.78,33.72,-88.73,4.7,10,9.6,10.6,-0.7,0.9,0,0,0.48,60,8,35
46,1950,3,27,3,MS,28,8,1,2,0,4,0,34.73,-88.27,0,0,0.1,10,9.6,10.8,-0.6,0.9,0,0,0.49,59,11,0
47,1950,3,27,3,TN,47,3,1,0,0,3,0,35.68,-85.77,0,0,0.2,10,9.3,9.4,-0.4,0.7,0,0,0.5,58,15,0
48,1950,3,27,3,IL,17,4,2,0,0,3,0,40.57,-88.6,40.6,-88.55,3,50,8.8,7.2,-0.2,1.1,0,0,0.53,65,16,30
